STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PATENT_AUTHORITIES,Patent authorities,FREQ,Frequency of observation,MEASURE,Measure2,UNIT_MEASURE,Unit of measure,DATE_TYPE,Reference date type,REF_AREA,Reference area,PARTNER_AREA,Counterpart area,AGENT_ROLE,Agent role,COOPERATION_TYPE,Cooperation type,WIPO,World Intellectual Property Organization domains,OECD_TECHNOLOGY_PATENT,Selected OECD technology domains,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,US50,United States Patent and Trademark Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,ARM,Armenia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,13.15950012,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,US50,United States Patent and Trademark Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,MLT,Malta,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,41.83330154,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_2,Triadic patent family,A,Annual,PF,Patent families,PATN_FM,Sets of patents,PRIORITY,Priority date,TWN,Chinese Taipei,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,563.6735229,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_3,IP5 patent family,A,Annual,PF,Patent families,PATN_FM,Sets of patents,PRIORITY,Priority date,ESP,Spain,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,1126.510376,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_2,Triadic patent family,A,Annual,PF,Patent families,PATN_FM,Sets of patents,PRIORITY,Priority date,EST,Estonia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,6.976200104,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,US50,United States Patent and Trademark Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,YUG_F,Former Yugoslavia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_3,IP5 patent family,A,Annual,PF,Patent families,PATN_FM,Sets of patents,PRIORITY,Priority date,PRI,Puerto Rico,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,3.25,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,US50,United States Patent and Trademark Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,CAN,Canada,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,5889.488281,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,US50,United States Patent and Trademark Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,AUT,Austria,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,1016.059387,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,6F0,European Patent Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,CUB,Cuba,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,6.209499836,,A,Normal value,1,One,0,Units
